id	date	comment
5.85978E+17	Thu Apr 09 01:31:50 +0000 2015	Breast cancer risk test devised 
5.85948E+17	Wed Apr 08 23:30:18 +0000 2015	GP workload harming care - BMA poll 
5.85948E+17	Wed Apr 08 23:30:18 +0000 2015	Short people's 'heart risk greater' 
5.85866E+17	Wed Apr 08 18:05:28 +0000 2015	New approach against HIV 'promising' 
5.85794E+17	Wed Apr 08 13:19:33 +0000 2015	Coalition 'undermined NHS' - doctors 
5.85733E+17	Wed Apr 08 09:18:39 +0000 2015	Review of case against NHS manager 
5.85733E+17	Wed Apr 08 09:18:39 +0000 2015	"VIDEO: 'All day is empty, what am I going to do?' "
5.85702E+17	Wed Apr 08 07:11:58 +0000 2015	VIDEO: 'Overhaul needed' for end-of-life care 
5.85621E+17	Wed Apr 08 01:51:00 +0000 2015	Care for dying 'needs overhaul' 
5.85437E+17	Tue Apr 07 13:41:42 +0000 2015	VIDEO: NHS: Labour and Tory key policies 
5.85437E+17	Tue Apr 07 13:41:42 +0000 2015	Have GP services got worse? 
5.85376E+17	Tue Apr 07 09:38:39 +0000 2015	A&amp;E waiting hits new worst level 
5.85284E+17	Tue Apr 07 03:30:52 +0000 2015	Parties row over GP opening hours 
5.85232E+17	Tue Apr 07 00:04:09 +0000 2015	Why strenuous runs may not be so bad after all 
5.84986E+17	Mon Apr 06 07:46:44 +0000 2015	VIDEO: Health surcharge for non-EU patients 
5.84986E+17	Mon Apr 06 07:46:44 +0000 2015	VIDEO: Skin cancer spike 'from 60s holidays' 
5.84902E+17	Mon Apr 06 02:12:52 +0000 2015	"80,000 'might die' in future outbreak "
5.84894E+17	Mon Apr 06 01:41:34 +0000 2015	Skin cancer 'linked to holiday boom' 
5.8414E+17	Fri Apr 03 23:48:37 +0000 2015	Public 'back tax rises to fund NHS' 
5.8414E+17	Fri Apr 03 23:48:37 +0000 2015	VIDEO: Welcome to the designer asylum 
5.83959E+17	Fri Apr 03 11:49:19 +0000 2015	VIDEO: Why are we having less sex? 
5.83838E+17	Fri Apr 03 03:44:51 +0000 2015	Five ideas to transform the NHS 
5.83785E+17	Fri Apr 03 00:15:02 +0000 2015	Personal cancer vaccines 'exciting' 
5.83771E+17	Thu Apr 02 23:19:22 +0000 2015	Child heart surgery deaths 'halved' 
5.83746E+17	Thu Apr 02 21:39:55 +0000 2015	VIDEO: Miliband: Cameron 'failed' the NHS 
5.83659E+17	Thu Apr 02 15:57:21 +0000 2015	Unsafe food 'growing global threat' 
5.83616E+17	Thu Apr 02 13:04:53 +0000 2015	Health highlights 
5.8355E+17	Thu Apr 02 08:43:39 +0000 2015	Ambulance progress 'not fast enough' 
5.83406E+17	Wed Apr 01 23:10:37 +0000 2015	Children’s hospital builds sleep app 
5.83406E+17	Wed Apr 01 23:10:37 +0000 2015	Drug giant 'blocks' eye treatment 
5.83398E+17	Wed Apr 01 22:39:24 +0000 2015	Blood test for Down's syndrome hailed 
5.83398E+17	Wed Apr 01 22:39:24 +0000 2015	VIDEO: 'We must plan for future of NHS' 
5.83054E+17	Tue Mar 31 23:52:26 +0000 2015	Paracetamol ‘no good for back pain' 
5.83054E+17	Tue Mar 31 23:52:26 +0000 2015	Care system 'gets biggest shake-up' 
5.83054E+17	Tue Mar 31 23:52:26 +0000 2015	VIDEO: Could existing drugs offer MS hope? 
5.82969E+17	Tue Mar 31 18:12:55 +0000 2015	MS drug 'may already be out there' 
5.82824E+17	Tue Mar 31 08:37:56 +0000 2015	VIDEO: Nursing code of conduct launched 
5.82808E+17	Tue Mar 31 07:33:31 +0000 2015	VIDEO: Disability village 'under threat' 
5.8273E+17	Tue Mar 31 02:21:55 +0000 2015	Uganda circumcision truck fights HIV 
5.82688E+17	Mon Mar 30 23:35:48 +0000 2015	More veterans seek mental health aid 
5.82688E+17	Mon Mar 30 23:35:47 +0000 2015	E-cigarette use 'high among teens' 
5.82554E+17	Mon Mar 30 14:44:38 +0000 2015	Medieval eye remedy 'kills MRSA' 
5.82323E+17	Sun Mar 29 23:27:29 +0000 2015	Parents rarely spot child obesity 
5.82167E+17	Sun Mar 29 13:07:59 +0000 2015	VIDEO: Vaccine to protect from meningitis B 
5.81988E+17	Sun Mar 29 01:16:36 +0000 2015	Chikungunya revives herbal remedies in Antigua 
5.81988E+17	Sun Mar 29 01:16:36 +0000 2015	The Bolivian women who knit parts for hearts 
5.81988E+17	Sun Mar 29 01:16:36 +0000 2015	Meningitis B vaccine deal agreed 
5.81978E+17	Sun Mar 29 00:34:23 +0000 2015	VIDEO: Life-saving knitters 
5.81971E+17	Sun Mar 29 00:09:20 +0000 2015	Guinea declares Ebola 'emergency' 
5.81867E+17	Sat Mar 28 17:13:13 +0000 2015	VIDEO: BMA warning on 'seven-day NHS' plan 
5.81642E+17	Sat Mar 28 02:19:00 +0000 2015	Rise in child mental health issues' 
5.81642E+17	Sat Mar 28 02:19:00 +0000 2015	Tories to pledge 'seven-day NHS' 
5.81634E+17	Sat Mar 28 01:49:49 +0000 2015	VIDEO: Military healthcare worker free of Ebola 
5.81516E+17	Fri Mar 27 18:01:48 +0000 2015	NHS: Labour's private profits cap 
5.81492E+17	Fri Mar 27 16:24:05 +0000 2015	British medic declared free of Ebola 
5.8143E+17	Fri Mar 27 12:18:39 +0000 2015	Labour to cap private profits in NHS 
5.81413E+17	Fri Mar 27 11:10:22 +0000 2015	Sierra Leone in Ebola lockdown 
5.81363E+17	Fri Mar 27 07:51:11 +0000 2015	VIDEO: Sitting down poses health risk 
5.81317E+17	Fri Mar 27 04:49:24 +0000 2015	VIDEO: Diarrhoea killing poorest children 
5.81279E+17	Fri Mar 27 02:17:53 +0000 2015	Office workers 'too sedentary' 
5.81279E+17	Fri Mar 27 02:17:53 +0000 2015	NHS medical accidents unit 'needed' 
5.81279E+17	Fri Mar 27 02:17:53 +0000 2015	Fitness linked to lower cancer risk 
5.81127E+17	Thu Mar 26 16:12:16 +0000 2015	Indiana emergency for HIV 'epidemic' 
5.81085E+17	Thu Mar 26 13:28:21 +0000 2015	First Europe non-beating heart swap 
5.81023E+17	Thu Mar 26 09:22:32 +0000 2015	VIDEO: What makes a healthy high street? 
5.81012E+17	Thu Mar 26 08:35:39 +0000 2015	VIDEO: NHS England 'deteriorating' 
5.8099E+17	Thu Mar 26 07:10:54 +0000 2015	VIDEO: 'Sport must act on mental health' 
5.80935E+17	Thu Mar 26 03:30:54 +0000 2015	Unhealthiest High Streets' revealed 
5.80917E+17	Thu Mar 26 02:20:17 +0000 2015	NHS problems worst 'since 1990s' 
5.80917E+17	Thu Mar 26 02:20:17 +0000 2015	DNA of 'an entire nation' assessed 
5.80845E+17	Wed Mar 25 21:33:19 +0000 2015	Ebola 'more deadly' in young children 
5.80644E+17	Wed Mar 25 08:16:24 +0000 2015	Contaminated blood probe report due 
5.80564E+17	Wed Mar 25 02:56:39 +0000 2015	Antibiotic use linked to diabetes 
5.80551E+17	Wed Mar 25 02:05:18 +0000 2015	Approach to obesity 'inexplicable' 
5.80551E+17	Wed Mar 25 02:05:17 +0000 2015	Air pollution 'link to stroke risk' 
5.8043E+17	Tue Mar 24 18:04:32 +0000 2015	Ex-carers 'too little travel time' 
5.8043E+17	Tue Mar 24 18:04:31 +0000 2015	Three IVF cycles a 'no-brainer' 
5.80348E+17	Tue Mar 24 12:39:09 +0000 2015	Has Ebola focus led to other killer diseases being ignored? 
5.80331E+17	Tue Mar 24 11:31:06 +0000 2015	Preventive surgery for cancer genes 
5.80297E+17	Tue Mar 24 09:17:31 +0000 2015	VIDEO: How one US school is battling obesity 
5.80281E+17	Tue Mar 24 08:11:42 +0000 2015	Angelina Jolie has ovaries removed 
5.80266E+17	Tue Mar 24 07:11:35 +0000 2015	VIDEO: Dr Radha's guide to a healthy diet 
5.80209E+17	Tue Mar 24 03:26:29 +0000 2015	Methadone programme 'a black hole' 
5.80209E+17	Tue Mar 24 03:26:29 +0000 2015	Hospital mental health absences rise 
5.80046E+17	Mon Mar 23 16:37:31 +0000 2015	VIDEO: Could cannabis oil cure cancer? 
5.80046E+17	Mon Mar 23 16:37:31 +0000 2015	Eat rice cold for fewer calories' 
5.79994E+17	Mon Mar 23 13:10:11 +0000 2015	UK medics 'had humanitarian motives' 
5.79977E+17	Mon Mar 23 12:04:00 +0000 2015	VIDEO: Half of children 'not eating healthily' 
5.79953E+17	Mon Mar 23 10:30:28 +0000 2015	Ashya King 'free of brain cancer' 
5.79914E+17	Mon Mar 23 07:55:25 +0000 2015	VIDEO: Charity slams global Ebola response 
5.79875E+17	Mon Mar 23 05:18:04 +0000 2015	Hospital staff 'act above pay grade' 
5.79847E+17	Mon Mar 23 03:26:10 +0000 2015	Disease-carrying mosquitoes warning 
5.79847E+17	Mon Mar 23 03:26:10 +0000 2015	How Ebola changed the world 
5.79847E+17	Mon Mar 23 03:26:10 +0000 2015	Early call for Ebola help 'ignored' 
5.79476E+17	Sun Mar 22 02:54:32 +0000 2015	Asia's deadly secret: The scourge of the betel nut 
5.79263E+17	Sat Mar 21 12:46:23 +0000 2015	VIDEO: Hunt 'hopeful' of Men B jab deal 
5.79216E+17	Sat Mar 21 09:40:48 +0000 2015	VIDEO: Criticism of Men B vaccine delay 
5.79123E+17	Sat Mar 21 03:30:14 +0000 2015	Campaigners make Men B vaccine plea 
5.7893E+17	Fri Mar 20 14:42:42 +0000 2015	VIDEO: Conned IVF husband wins damages 
5.78863E+17	Fri Mar 20 10:18:10 +0000 2015	VIDEO: What can make you happy? 
5.78799E+17	Fri Mar 20 06:04:04 +0000 2015	Mental health budgets 'cut by 8%' 
5.78763E+17	Fri Mar 20 03:41:53 +0000 2015	Ebola-proof' tablet device developed 
5.78615E+17	Thu Mar 19 17:50:53 +0000 2015	VIDEO: Young carer Elle describes challenges 
5.78539E+17	Thu Mar 19 12:48:54 +0000 2015	VIDEO: Toxic smog prompts health warning 
5.78522E+17	Thu Mar 19 11:42:09 +0000 2015	Half of children have tooth decay' 
5.78392E+17	Thu Mar 19 03:06:56 +0000 2015	Blood test 'could cut antibiotics' 
5.78245E+17	Wed Mar 18 17:23:54 +0000 2015	New global fund for tobacco control 
5.78228E+17	Wed Mar 18 16:13:34 +0000 2015	Doctors in 'no confidence' vote 
5.7803E+17	Wed Mar 18 03:09:32 +0000 2015	Morbidly obese could get free flu jab 
5.7803E+17	Wed Mar 18 03:09:32 +0000 2015	Breastfeeding 'linked to higher IQ' 
5.7803E+17	Wed Mar 18 03:09:31 +0000 2015	Privately-run hospital scheme 'poor' 
5.7803E+17	Wed Mar 18 03:09:31 +0000 2015	Morbidly obese could get free flu jab 
5.7803E+17	Wed Mar 18 03:09:31 +0000 2015	Has the war on drugs been lost? 
5.7803E+17	Wed Mar 18 03:09:31 +0000 2015	Has the war on drugs been lost? 
5.77861E+17	Tue Mar 17 15:55:13 +0000 2015	Selfie danger' during solar eclipse 
5.77825E+17	Tue Mar 17 13:34:32 +0000 2015	VIDEO: Child mental health services 'broken' 
5.77825E+17	Tue Mar 17 13:34:32 +0000 2015	Dentist probe patients contract virus 
5.77801E+17	Tue Mar 17 11:57:11 +0000 2015	VIDEO: Why did my partner take his own life? 
